Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 842359

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1924","1","Varela, J.","1313",,,,,,,"Chemistryselect","884","Preschool Child","7954","Persian Gulf University","3617","Baqiyatallah University of Medical Sciences","774","Bosnia and Herzegovina","207",,,,
,,"1923","3","Barberis, E.","1312",,,,,,,"Iranian Journal Of Physics Research","884","Prediction","7911","Kashan University of Medical Sciences","3583","Ministry of Education and Science","774","Kyrgyzstan","207",,,,
,,"1922","2","Barney, D.","1312",,,,,,,"Physica E Low Dimensional Systems And Nanostructures","878","Algorithms","7905","Alborz University of Medical Sciences","3569","Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro","772","North Macedonia","206",,,,
,,"1921","3","Brooke, J.J.","1312",,,,,,,"International Journal Of Engineering Transactions A Basics","875","Mice","7851","Shahrekord University of Medical Sciences","3566","Narodowe Centrum Nauki","771","Panama","198",,,,
,,"1920","4","Campagnari, C.","1312",,,,,,,"Iranian Journal Of Pediatrics","875","Performance","7829","Semnan University of Medical Sciences and Health Services","3548","Australian Research Council","765","Tanzania","197",,,,
,,"1919","1","Choudhary, B.C.","1312",,,,,,,"Journal Of The Brazilian Society Of Mechanical Sciences And Engineering","871","Mechanical Properties","7701","Shahid Rajaee Teacher Training University","3525","CERN","761","Costa Rica","193",,,,
,,"1918","4","Civinini, C.","1312",,,,,,,"Iranian Journal Of Nursing And Midwifery Research","868","Plant Extract","7698","Kurdistan University of Medical Sciences","3524","Horizon 2020","760","Uruguay","168",,,,
,,"1917","2","Dejardin, M.","1312",,,,,,,"Iranian Journal Of Science And Technology Transactions Of Civil Engineering","868","Cell Viability","7645","University of Zabol","3467","University of Zanjan","750","Libya","164",,,,
,,"1916","2","Depasse, P.","1312",,,,,,,"Journal Of High Energy Physics","865","Neural Networks","7615","Royan Institute","3462","Academy of Finland","749","Brunei Darussalam","155",,,,
,,"1915","2","Ferri, F.","1312",,,,,,,"Fuel","862","Double Blind Procedure","7606","Islamic Azad University, Arak Branch","3345","Institute for Advanced Studies in Basic Sciences","747","Albania","135",,,,
